,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
125,American Airlines Inc.,CLT,STT,2,0.4984794354253781
126,American Airlines Inc.,CLT,STX,3,0.3333132848790323
127,American Airlines Inc.,CLT,SYR,28,0.2505901015330684
128,American Airlines Inc.,CLT,TPA,161,0.15594388814370375
129,American Airlines Inc.,CLT,TUL,19,0.31578528805420786
130,American Airlines Inc.,CLT,TUS,16,0.24980251601172063
131,American Airlines Inc.,CMH,CLT,3,5.994463498913576e-09
132,American Airlines Inc.,CMH,DFW,89,0.19100463892582545
133,American Airlines Inc.,CMH,LAX,20,0.2499553919406913
134,American Airlines Inc.,CMH,PHL,3,0.6665767174230322
135,American Airlines Inc.,CMH,PHX,36,0.25057518521275834
136,American Airlines Inc.,COS,DFW,72,0.08833421500962153
137,American Airlines Inc.,CVG,DFW,39,0.23076077665602965
138,American Airlines Inc.,DAY,DFW,13,0.1538440189978147
139,American Airlines Inc.,DCA,BOS,229,0.17478925576333693
140,American Airlines Inc.,DCA,CLT,147,0.14283338968176984
141,American Airlines Inc.,DCA,DFW,179,0.18462308084253334
142,American Airlines Inc.,DCA,JFK,20,0.09997122101922787
143,American Airlines Inc.,DCA,LAS,17,0.05882200201249865
144,American Airlines Inc.,DCA,LAX,31,0.12908737751839558
145,American Airlines Inc.,DCA,LGA,4,5.9085798761892366e-09
146,American Airlines Inc.,DCA,MCO,87,0.12643216095806706
147,American Airlines Inc.,DCA,MIA,171,0.18712968421786993
148,American Airlines Inc.,DCA,MSY,7,0.14285377558120002
149,American Airlines Inc.,DCA,ORD,140,0.12124047028831807
150,American Airlines Inc.,DCA,PBI,16,0.18749834213629327
151,American Airlines Inc.,DCA,PHL,17,1.0881235733057834e-08
152,American Airlines Inc.,DCA,PHX,72,0.09724596771589761
153,American Airlines Inc.,DCA,RSW,15,0.19999589280616778
154,American Airlines Inc.,DCA,TPA,75,0.25327765627983356
155,American Airlines Inc.,DEN,CLT,100,0.21980824933654788
156,American Airlines Inc.,DEN,DFW,147,0.25189821331027834
157,American Airlines Inc.,DEN,JFK,11,0.18181813783561704
158,American Airlines Inc.,DEN,LAX,21,0.09523812223431002
159,American Airlines Inc.,DEN,MIA,64,0.18750162558927067
160,American Airlines Inc.,DEN,ORD,70,0.1856983614395661
161,American Airlines Inc.,DEN,PHL,31,0.22571522603995647
162,American Airlines Inc.,DEN,PHX,80,0.15001359987814641
163,American Airlines Inc.,DFW,ABQ,97,0.29870796173867825
164,American Airlines Inc.,DFW,ANC,7,0.28571173981823084
165,American Airlines Inc.,DFW,ATL,124,0.2742027068091089
166,American Airlines Inc.,DFW,AUS,191,0.22566985307159043
167,American Airlines Inc.,DFW,BDL,23,0.349068212072729
168,American Airlines Inc.,DFW,BNA,146,0.21917392693679516
169,American Airlines Inc.,DFW,BOI,35,0.2849972496713166
170,American Airlines Inc.,DFW,BOS,106,0.20162389285857965
171,American Airlines Inc.,DFW,BUF,1,3.264439572242636e-07
172,American Airlines Inc.,DFW,BWI,69,0.2316934171371123
173,American Airlines Inc.,DFW,BZN,9,1.0881319589860605e-08
174,American Airlines Inc.,DFW,CAE,20,0.2999998688882147
175,American Airlines Inc.,DFW,CHS,25,0.3997503645938727
176,American Airlines Inc.,DFW,CLE,81,0.247310003922317
177,American Airlines Inc.,DFW,CLT,184,0.19035665896426124
178,American Airlines Inc.,DFW,CMH,57,0.2631327026310302
179,American Airlines Inc.,DFW,COS,67,0.3282917122402386
180,American Airlines Inc.,DFW,CVG,27,0.18518520069311095
181,American Airlines Inc.,DFW,DAY,12,0.1666655114571782
182,American Airlines Inc.,DFW,DCA,148,0.23638751957476595
183,American Airlines Inc.,DFW,DEN,170,0.16521012333760302
184,American Airlines Inc.,DFW,DSM,55,0.19998223600294518
185,American Airlines Inc.,DFW,DTW,77,0.22009452997651435
186,American Airlines Inc.,DFW,EGE,21,0.23804391739728437
187,American Airlines Inc.,DFW,ELP,68,0.14707647745805796
188,American Airlines Inc.,DFW,EWR,77,0.24672548072867045
189,American Airlines Inc.,DFW,FAT,45,0.19998500864981644
190,American Airlines Inc.,DFW,FLL,112,0.2244423425615023
191,American Airlines Inc.,DFW,GEG,29,0.3448992025109623
192,American Airlines Inc.,DFW,GRR,27,0.33211395069426913
193,American Airlines Inc.,DFW,GSP,44,0.20453842206620007
194,American Airlines Inc.,DFW,GUC,11,0.36363395182341307
195,American Airlines Inc.,DFW,HDN,6,0.3333289596239273
196,American Airlines Inc.,DFW,HNL,42,0.2619461215406801
197,American Airlines Inc.,DFW,IAD,74,0.25674022200990143
198,American Airlines Inc.,DFW,IAH,156,0.26922533654691744
199,American Airlines Inc.,DFW,ICT,39,0.20795244800966017
200,American Airlines Inc.,DFW,IND,80,0.32499473401235485
201,American Airlines Inc.,DFW,JAC,25,0.23933710377170808
202,American Airlines Inc.,DFW,JAX,70,0.27129092175105374
203,American Airlines Inc.,DFW,JFK,35,0.20235181253502266
204,American Airlines Inc.,DFW,KOA,4,0.25000006296214977
205,American Airlines Inc.,DFW,LAS,185,0.21665998034490938
206,American Airlines Inc.,DFW,LAX,253,0.17815911101601245
207,American Airlines Inc.,DFW,LBB,5,5.9254394230574135e-09
208,American Airlines Inc.,DFW,LGA,203,0.2465958469529493
209,American Airlines Inc.,DFW,LIT,2,1.6863430008475473e-07
210,American Airlines Inc.,DFW,MCI,101,0.19871178941970047
211,American Airlines Inc.,DFW,MCO,170,0.2225162371334134
212,American Airlines Inc.,DFW,MEM,100,0.2896221541182272
213,American Airlines Inc.,DFW,MFE,25,0.1599825841843491
214,American Airlines Inc.,DFW,MIA,210,0.26230434857726526
215,American Airlines Inc.,DFW,MKE,75,0.1999585750884423
216,American Airlines Inc.,DFW,MSP,96,0.281227415176294
217,American Airlines Inc.,DFW,MSY,117,0.1828690473703596
218,American Airlines Inc.,DFW,MTJ,9,0.11111112538340409
219,American Airlines Inc.,DFW,OAK,18,0.2777762473174888
220,American Airlines Inc.,DFW,OGG,35,0.2570305394914145
221,American Airlines Inc.,DFW,OKC,102,0.23621745172294067
222,American Airlines Inc.,DFW,OMA,66,0.2726989900096108
223,American Airlines Inc.,DFW,ONT,95,0.21142512321470483
224,American Airlines Inc.,DFW,ORD,220,0.21802152991064871
225,American Airlines Inc.,DFW,ORF,38,0.342083850706844
226,American Airlines Inc.,DFW,PBI,32,0.28124995822819226
227,American Airlines Inc.,DFW,PDX,95,0.2420353964267551
228,American Airlines Inc.,DFW,PHL,174,0.3335299452588048
229,American Airlines Inc.,DFW,PHX,179,0.230149391257381
230,American Airlines Inc.,DFW,PIT,86,0.22091886594280705
231,American Airlines Inc.,DFW,PNS,32,0.34373258194971307
232,American Airlines Inc.,DFW,PSP,34,0.26468220402623555
233,American Airlines Inc.,DFW,RDU,107,0.26159058064991614
234,American Airlines Inc.,DFW,RIC,60,0.16664557512160902
235,American Airlines Inc.,DFW,RNO,37,0.16182575899029367
236,American Airlines Inc.,DFW,RSW,41,0.24384207739302288
237,American Airlines Inc.,DFW,SAN,135,0.16297303262197485
238,American Airlines Inc.,DFW,SAT,205,0.22435258565632626
239,American Airlines Inc.,DFW,SAV,43,0.13951765080688283
240,American Airlines Inc.,DFW,SBA,3,0.33333336514223344
241,American Airlines Inc.,DFW,SDF,1,0.9999999999954914
242,American Airlines Inc.,DFW,SEA,184,0.22892044921494947
243,American Airlines Inc.,DFW,SFO,208,0.24507840989938096
244,American Airlines Inc.,DFW,SJC,67,0.2838391140420818
245,American Airlines Inc.,DFW,SJU,40,0.32498781598332477
246,American Airlines Inc.,DFW,SLC,114,0.16664953858589818
247,American Airlines Inc.,DFW,SMF,85,0.28223707698213457
248,American Airlines Inc.,DFW,SNA,134,0.21664667940978521
249,American Airlines Inc.,DFW,STL,136,0.24257731259815157
